"GeoAreaCode","GeoAreaName","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
703,"Slovakia","...","...","...","...","0","0.2","0.2","0.2","0.5","0.4","0.5","0.5","0.2","0.2","0.7","0.7","...","..."
704,"Viet Nam","...","...","38","...","26.5","...","19.5","...","14.8","...","4.2","...","2.8","...","2.6","...","2","..."
705,"Slovenia","...","...","...","...","0","0","0","0","0","0","0","0","0","0","0","0","...","..."
710,"South Africa","32.6","...","...","...","...","25","...","...","16.9","...","16.5","...","...","...","18.9","...","...","..."
716,"Zimbabwe","...","...","...","...","...","...","...","...","...","...","...","21.4","...","...","...","...","...","..."
724,"Spain","...","...","...","0.7","0.7","0.7","0.7","0.4","0.5","0.7","0.7","1.2","1","1.2","0.7","1","...","..."
728,"South Sudan","...","...","...","...","...","...","...","...","...","42.7","...","...","...","...","...","...","...","..."
729,"Sudan","...","...","...","...","...","...","...","...","...","14.9","...","...","...","...","...","...","...","..."
748,"Eswatini","48.4","...","...","...","...","...","...","...","...","42","...","...","...","...","...","...","...","..."
752,"Sweden","...","...","...","0.2","0.5","0.9","0.2","0.5","0.5","0.5","0.5","0.5","0.5","0.7","0.5","0.5","...","..."
756,"Switzerland","...","...","...","...","...","...","0","0","0","0","0","0","0","0","0","0","...","..."
760,"Syrian Arab Republic","...","...","...","...","1.7","...","...","...","...","...","...","...","...","...","...","...","...","..."
762,"Tajikistan","...","...","...","30.8","15.4","...","...","10.4","...","4.7","...","...","...","...","...","4.8","...","..."
764,"Thailand","2.5","...","1.1","...","0.8","...","0.7","0.3","0.1","0.2","0.1","0","0.1","0","0","0","...","..."
768,"Togo","...","...","...","...","...","...","55.6","...","...","...","...","54.2","...","...","...","49.2","...","..."
776,"Tonga","...","2.8","...","...","...","...","...","...","...","1.1","...","...","...","...","...","...","...","..."
788,"Tunisia","5.3","...","...","...","...","3.1","...","...","...","...","2","...","...","...","...","...","...","..."
792,"Turkey","...","...","1.7","3.7","2.1","2.6","1.9","1.4","0.6","0.9","0.8","0.3","0.3","0.3","0.3","0.3","0.2","..."
798,"Tuvalu","...","...","...","...","...","...","...","...","...","...","3.3","...","...","...","...","...","...","..."
800,"Uganda","...","...","64.1","...","...","55.4","...","...","...","43.5","...","...","35.9","...","...","...","41.6","..."
804,"Ukraine","...","...","1.7","0.6","0.6","0.3","0.1","0.1","0","0.1","0","0","0","0","0","0.1","0.1","..."
807,"The former Yugoslav Republic of Macedonia","...","...","...","...","...","...","...","...","...","9.7","10","10.1","7","6","5","...","...","..."
818,"Egypt","...","...","...","...","4.4","...","...","...","3.9","...","3","...","2.3","...","...","1.3","...","..."
826,"United Kingdom of Great Britain and Northern Ireland","...","...","...","...","0.5","0.5","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","...","..."
834,"United Republic of Tanzania","86","...","...","...","...","...","...","59.9","...","...","...","49.1","...","...","...","...","...","..."
840,"United States of America","0.7","...","...","...","1","...","...","1","...","...","1","...","...","1","...","...","1.2","..."
854,"Burkina Faso","...","...","...","57.3","...","...","...","...","...","55.3","...","...","...","...","43.7","...","...","..."
858,"Uruguay","...","...","...","...","...","...","0.5","0.3","0.2","0.2","0.1","0.1","0.1","0.2","0.1","0.1","0.1","..."
860,"Uzbekistan","62","...","58.2","62.1","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
862,"Venezuela (Bolivarian Republic of)","...","11","18.2","22.7","19.8","18.9","10.2","...","...","...","...","...","...","...","...","...","...","..."
882,"Samoa","...","...","...","...","...","...","...","...","0.6","...","...","...","...","...","...","...","...","..."
887,"Yemen","...","...","...","...","...","9.8","...","...","...","...","...","...","...","...","18.8","...","...","..."
894,"Zambia","...","...","49.4","...","56.7","...","60.5","...","...","...","64.4","...","...","...","...","57.5","...","..."
